address,wonTickets,finalTokens
0x27F1Ca84C17150af7FACE5054a6A2670A75ed060,2,8031000000
0x57a20209A18185F982F5f883502d8EB499900303,3,12046500000
0xa9D46DB44B21B34f8Dbc0fc6d8C4CBDa01E1Fc2A,2,8031000000
0xC61618aF68eB5F870c05eF8a371DEbB4bEDEA3BD,3,12046500000
0x46Ffbe229d5971585584DB39CCA44916861c74C9,2,8031000000
0xB8C53FDB2ED1Ef8a7107918bD4B22Ee1e07e3841,8,32124000000
0xdC2a26dA62eC880a137BD336315464bc78C2698A,1,4015500000
0x97240Ea608fb88f152519bB45E6c7c8a0E5c33a2,2,8031000000
0x0cAC63F1218ac8e96fE838bfF92017FF3844B53A,12,48186000000
0x895F25a04C7C4F0Ce96BDE5a83dBFBa13982c09c,1,4015500000
0x181d3fD7D94e9E688373770836AF85c3fD16e360,6,24093000000
0x674118D0F2c5f09d96Ad9638857E28E23cEF24dA,1,4015500000
0x3E1dc89ab1E3BB8A64bB0f65b65b404f1BF708c3,5,20077500000
0x847A643AD8d71569329E8B133a68291696D9ac4B,6,24093000000
0x13d75E3efA4788b9786a66CcDd54bBDbfc6FB690,2,8031000000
0xfd3f412fc20b7ED21740786F097322b679331779,14,56217000000
0x96Fb567ef48bFFDD95167821aC442bB95eD72006,19,76294500000
0x958DF15C3E7Ea43F3635097e6279bD8d20cb80aA,6,24093000000
0x7E661ac52e2578d56EEEC231016c7B4DC0A73B75,2,8031000000
0xb50315aff86466D19e6f8582B1D5CEe5595a1ba8,3,12046500000
0x8275d0c0E22869ced1d1c52CC35a9DE871a164F6,7,28108500000
0x4E02A3818bf2B5fA36809C74270A93131F87E432,1,4015500000
0x3aC8887C1F35875791c56c34fBB327D3361Fee47,10,40155000000
0x5f69726618599dA88EDC60DC2873B1c73Af69AE3,219,879394500000
0xEFFa0B6B2Ed1A91c14c281F23eAbc4e2d7Ff6FCf,14,56217000000
0xC048226670753063491bA4cF9bfFA4E23585DFdf,201,807115500000
0xaC114511B5fBaA565DBAA3d7cAe85b4750392365,1,4015500000
